Age,Gender,Location,Income,Owns Property,Profession,Platform,Total Time Spent,Number of Sessions,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,Productivity Loss,Satisfaction,Watch Reason,Device Type,OS,Watch Time,Self Control,Current Activity,Connection Type,Age Group,Actual,Predicted
26,Other,India,74312,True,Artist,Facebook,217,18,2612,5,24,1,5,Evening,7,3,Boredom,Tablet,MacOS,,9,At school,Mobile Data,26-35,1,1
46,Other,Mexico,64199,False,driver,TikTok,170,1,9957,8,6,34,83,Afternoon,6,4,Habit,Smartphone,Windows,,8,At school,Mobile Data,36-50,2,2
62,Female,Brazil,44322,False,Teacher,TikTok,136,15,5803,5,18,10,51,Morning,8,2,Entertainment,Smartphone,Android,,10,Commuting,Mobile Data,50+,0,0
60,Other,Indonesia,67377,False,Artist,YouTube,297,17,1217,7,8,19,15,Afternoon,6,4,Habit,Tablet,MacOS,,8,At work,Mobile Data,50+,2,2
45,Female,Indonesia,26142,True,Cashier,Instagram,222,6,5420,8,24,31,36,Evening,5,5,Boredom,Computer,MacOS,,7,At home,Wi-Fi,36-50,3,3
43,Female,Germany,78653,False,Students,YouTube,33,1,1469,8,9,33,81,Afternoon,4,6,Habit,Tablet,Android,,6,Commuting,Mobile Data,36-50,4,4
61,Male,Philippines,88336,False,Waiting staff,TikTok,112,7,5807,1,21,27,86,Afternoon,5,5,Entertainment,Smartphone,Android,,7,At work,Mobile Data,50+,3,3
63,Male,Brazil,85677,False,Waiting staff,Facebook,30,11,2538,1,22,40,85,Evening,6,4,Habit,Smartphone,Android,,8,At home,Wi-Fi,50+,2,2
32,Male,India,75718,True,Students,Facebook,112,19,4960,7,26,5,89,Night,3,7,Boredom,Smartphone,iOS,,5,Commuting,Wi-Fi,26-35,5,5
28,Male,Indonesia,76614,True,Manager,Instagram,14,15,6227,4,2,19,29,Afternoon,5,5,Boredom,Smartphone,Android,,7,At home,Mobile Data,26-35,3,3
18,Male,Japan,98518,True,Labor/Worker,TikTok,225,16,1361,8,20,18,89,Morning,7,3,Procrastination,Smartphone,MacOS,,9,At work,Mobile Data,<18,1,1
49,Male,Germany,90812,True,driver,Facebook,289,9,2423,6,4,27,53,Evening,8,2,Boredom,Tablet,Android,,10,At school,Wi-Fi,36-50,0,0
41,Male,Brazil,51852,False,Manager,Facebook,22,12,4215,3,14,15,13,Night,3,7,Habit,Smartphone,MacOS,,5,At work,Wi-Fi,36-50,5,5
51,Female,Vietnam,32449,True,Artist,Facebook,276,2,7089,8,23,10,30,Morning,3,7,Entertainment,Smartphone,iOS,,5,Commuting,Mobile Data,50+,5,5
20,Other,United States,61627,False,Labor/Worker,TikTok,155,4,1032,2,1,30,93,Evening,6,4,Entertainment,Tablet,Android,,8,Commuting,Wi-Fi,18-25,2,2
53,Male,Pakistan,32109,True,Waiting staff,Facebook,100,16,306,2,16,20,69,Morning,8,2,Boredom,Tablet,Android,,10,At work,Wi-Fi,50+,0,0
50,Male,Philippines,66473,True,Teacher,Instagram,21,3,1561,6,14,2,10,Night,8,2,Procrastination,Tablet,Windows,,10,Commuting,Mobile Data,36-50,0,0
50,Other,India,75426,True,Manager,YouTube,126,10,3339,1,14,18,24,Afternoon,5,5,Habit,Smartphone,Android,,7,At work,Wi-Fi,36-50,3,3
34,Female,India,31738,True,Students,YouTube,146,11,70,8,19,3,7,Evening,7,3,Boredom,Smartphone,Android,,9,At school,Mobile Data,26-35,1,1
53,Female,India,87411,False,Students,Facebook,137,1,5950,5,14,14,95,Night,2,8,Entertainment,Tablet,Android,,4,At home,Mobile Data,50+,6,6
43,Female,United States,82522,True,Students,YouTube,57,11,5717,4,6,37,49,Night,8,2,Habit,Computer,Android,,10,At home,Mobile Data,36-50,0,0
48,Female,Japan,90188,True,Waiting staff,YouTube,12,2,6391,7,9,18,3,Night,1,9,Boredom,Smartphone,Android,,3,At home,Wi-Fi,36-50,7,7
44,Male,Indonesia,62946,False,Students,Instagram,280,7,6505,1,5,25,44,Night,3,7,Procrastination,Tablet,iOS,,5,At home,Mobile Data,36-50,5,5
42,Female,Pakistan,48172,False,Waiting staff,Instagram,40,11,6349,1,14,39,39,Evening,9,1,Boredom,Tablet,Android,,10,At home,Mobile Data,36-50,0,0
37,Other,United States,89785,True,Artist,TikTok,168,5,9630,4,14,9,11,Evening,6,4,Boredom,Smartphone,iOS,,8,At work,Mobile Data,36-50,2,2
49,Female,United States,37611,False,Cashier,Instagram,21,7,5423,6,9,10,55,Afternoon,4,6,Boredom,Tablet,Windows,,6,At school,Wi-Fi,36-50,4,4
22,Other,Mexico,46943,True,Students,YouTube,101,5,2256,5,5,31,94,Afternoon,4,6,Entertainment,Smartphone,Windows,,6,At home,Mobile Data,18-25,4,4
62,Male,United States,20340,True,Waiting staff,TikTok,273,10,1849,1,23,37,49,Night,1,9,Entertainment,Tablet,Android,,3,At home,Wi-Fi,50+,7,7
27,Female,India,98931,False,Labor/Worker,TikTok,178,19,1028,5,11,39,51,Morning,9,1,Procrastination,Smartphone,Windows,,10,Commuting,Wi-Fi,26-35,0,0
34,Female,Pakistan,89624,True,Engineer,YouTube,93,8,8400,9,17,49,13,Afternoon,5,5,Habit,Computer,Android,,7,At work,Mobile Data,26-35,3,3
18,Other,Indonesia,99473,True,Waiting staff,YouTube,271,10,972,5,24,36,62,Afternoon,5,5,Entertainment,Smartphone,iOS,,7,At home,Mobile Data,<18,3,3
24,Male,India,27069,True,Students,Facebook,262,9,9814,4,6,31,10,Night,1,9,Habit,Smartphone,Windows,,3,At home,Mobile Data,18-25,7,7
34,Male,Indonesia,32605,True,Teacher,TikTok,37,7,1646,3,4,40,45,Evening,6,4,Boredom,Computer,Android,,8,At work,Wi-Fi,26-35,2,2
50,Other,Indonesia,83095,False,Waiting staff,TikTok,175,5,6994,8,29,20,40,Evening,6,4,Boredom,Tablet,iOS,,8,At school,Mobile Data,36-50,2,2
